music_name,artist_name,style_name
É isso aí,Ana Carolina,Bossa Nova
Boate azul,Bruno e Marrone,Sertanejo
Dormi na praça,Bruno e Marrone,Sertanejo
Desde que o samba é samba,Caetano Veloso,Bossa Nova
Sampa,Caetano Veloso,Bossa Nova
Sozinho,Caetano Veloso,Bossa Nova
Você é linda,Caetano Veloso,Bossa Nova
Você Não Me Ensinou a Te Esquecer,Caetano Veloso,Bossa Nova
Exagerado,Cazuza,Rock Nacional
Como um anjo,Cesar Menotti e Fabiano,Sertanejo
Esperando na Janela,Cesar Menotti e Fabiano,Sertanejo
Leilão,Cesar Menotti e Fabiano,Sertanejo
"Dias De Luta, Dias de Gloria",Charlie Brown Jr.,Rock Nacional
Ela vai voltar,Charlie Brown Jr.,Rock Nacional
Só os Loucos Sabem,Charlie Brown Jr.,Rock Nacional
A banda,Chico Buarque,Bossa Nova
Cálice,Chico Buarque,Bossa Nova
Construção,Chico Buarque,Bossa Nova
60 dias apaixonado,Chitaozinho e Xororo,Sertanejo
Evidencias,Chitaozinho e Xororo,Sertanejo
Fio de cabelo,Chitaozinho e Xororo,Sertanejo
Galopeira,Chitaozinho e Xororo,Sertanejo
Nuvem de Lagrimas,Chitaozinho e Xororo,Sertanejo
Sinônimos,Chitaozinho e Xororo,Sertanejo
Quero Te Encontrar,Claudinho & Buchecha,Funk
Eu Te Devoro,Djavan,Bossa Nova
Flor de Lis,Djavan,Bossa Nova
Oceano,Djavan,Bossa Nova
Samurai,Djavan,Bossa Nova
Se ...,Djavan,Bossa Nova
Águas de março,Elis Regina,Bossa Nova
Era Um Garoto Que Como Eu Amava Os Beatles e Os Rolling Stones,Engenheiros do Hawaii,Rock Nacional
Aquele Abraço,Gilberto Gil,Bossa Nova
Esotérico,Gilberto Gil,Bossa Nova
Ainda ontem chorei de saudade,João Mineiro & Marciano,Sertanejo
Além do Horizonte,Jota Quest,Rock Nacional
Só Hoje,Jota Quest,Rock Nacional
Pensa em mim,Leandro e Leonardo,Sertanejo
Eduardo E Mônica,Legião Urbana,Rock Nacional
Índios,Legião Urbana,Rock Nacional
Pais E Filhos,Legião Urbana,Rock Nacional
Quase Sem querer,Legião Urbana,Rock Nacional
Que país é este,Legião Urbana,Rock Nacional
Será,Legião Urbana,Rock Nacional
Tempo Perdido,Legião Urbana,Rock Nacional
Anna Júlia,Los Hermanos,Rock Nacional
Asa Branca,Luiz Gonzaga,Forro
Toda Forma de Amor,Lulu Santos,Rock Nacional
Desabafo,Marcelo D2,Samba
Infiel,Marília Mendonça,Sertanejo
Quero Ser Feliz Também,Natiruts,Reggae
Aonde quer que eu vá,Os paralamas do sucesso,Rock Nacional
Meu erro,Os paralamas do sucesso,Rock Nacional
Cheia de Manias,Raça Negra,Pagode
Metamorfose Ambulante,Raul Seixas,Rock Nacional
Agora só falta você,Rita Lee,Rock Nacional
Ovelha Negra,Rita Lee,Rock Nacional
Whisky a Go-Go,Roupa Nova,Rock Nacional
Amiga da Minha Mulher,Seu Jorge,Bossa Nova
Burguesinha,Seu Jorge,Bossa Nova
Mina do condomínio,Seu Jorge,Bossa Nova
That's My Way,Seu Jorge,Bossa Nova
Dois Rios,Skank,Rock Nacional
Sutilmente,Skank,Rock Nacional
Vamos Fugir,Skank,Rock Nacional
Vou Deixar,Skank,Rock Nacional
Azul da cor do mar,Tim Maia,MPB
Gostava Tanto de Você,Tim Maia,MPB
Me Dê Motivo,Tim Maia,MPB
Não quero dinheiro,Tim Maia,MPB
Você,Tim Maia,MPB
Chega de Saudade,Tom Jobim,Bossa Nova
Eu sei que vou te amar,Tom Jobim,Bossa Nova
Garota de Ipanema,Tom Jobim,Bossa Nova
Wave,Tom Jobim,Bossa Nova
Aquarela,Toquinho,Bossa Nova
Velha Infância,Tribalistas,Rock Nacional
Ciúme,Ultraje a Rigor,Rock Nacional
Insensatez,Vinicius de Moraes,Bossa Nova
Onde anda você,Vinicius de Moraes,Bossa Nova